H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	0.58	1.13	0.6	2.47	2.27	3.61	2.39	0.27	1.45	0.44	0.08	0.34
ENSG00000000457chr1:169881790-169883459	0.17	0.11	0.26	0.29	0.14	0.13	0.11	0.32	0.2	0.21	0.16	0.15
ENSG00000000460chr1:169604769-169605318	0.91	1.42	2.41	5.38	4.4	8.36	8.78	14.33	14.81	8.99	4.24	1.02
ENSG00000000938chr1:27624596-27627068	10.33	7.69	7.07	7.82	8.01	9.46	12.68	24.24	32.85	16.35	8.16	8.27
ENSG00000000971chr1:196659417-196659916	0.26	0.56	0.21	0.13	0.28	0.41	0.11	0.42	0.33	0.17	0.49	1.45
ENSG00000001036chr6:143527992-143528853	2.34	2.46	3.78	2.92	3.39	4.21	4.26	2.99	3.79	1.73	0.99	1.43
ENSG00000001084chr6:53592840-53593389	0.3	0.24	0.22	0.86	1.29	1.82	5.53	6.99	13.8	19.34	10.31	7.53
ENSG00000001461chr1:24406773-24407272	0.1	0.13	0.19	0.08	0.26	0.05	0.22	0.03	0.05	0.07	0.44	1.65
ENSG00000001497chrX:65526173-65526672	0.22	0.75	0.6	0.16	0.14	0.13	0.26	0.44	0.4	0.21	0.31	0.46
ENSG00000001617chr3:50136755-50141170	11.3	3.85	6.75	4.63	7.97	6.61	7.66	5.53	3.91	1.79	0.38	0.48
ENSG00000001630chr7:92178781-92180069	0.21	0.08	0.07	0.14	0.15	0.18	0.09	0.23	0.08	0.21	0.59	0.65
ENSG00000002016chr12:569661-570740	0.81	0.45	0.45	1.05	2.79	0.58	0.91	0.78	2.64	0.78	0.93	0.48
ENSG00000002330chr11:64268719-64272080	123.57	84.66	91.88	92.3	86.41	83.89	76.1	74.29	66.61	59.6	58.88	74.64
ENSG00000002549chr4:17592558-17593057	1.25	1.34	1.58	1.75	2.04	2.31	2.89	1.39	3.19	2.33	2.47	3.42
ENSG00000002586chrX:2701510-2702049	10	14.62	4.07	8.96	3.98	5.68	3.28	5.5	2.68	2.71	0.82	1.74
ENSG00000002745chr7:121313988-121314705	73.48	43.93	37.78	39.24	55.26	60.32	43.19	25.79	21.75	13.23	3.16	1.78
ENSG00000002822chr7:2219612-2221691	0.42	0.36	0.41	0.41	0.2	0.15	0.25	0.21	0.33	0.15	0.16	0.09
ENSG00000002834chr17:38898084-38899958	136.59	143.72	167.4	206.53	181.71	170.33	180.19	120.44	96.91	57.2	26.78	31.63
ENSG00000002919chr17:48131167-48131666	0.05	0.03	0.07	0.02	0.07	0.03	0.11	0.02	0.06	0.09	0.15	0.23
ENSG00000003147chr7:8253884-8255255	0.33	0.17	0.25	0.14	0.1	0.1	0.06	0.28	0.11	0.18	0.26	2.32
ENSG00000003400chr2:201174869-201175368	1.63	1.06	0.34	0.81	0.74	0.45	0.81	0.46	0.52	0.28	0.32	0.51
ENSG00000003402chr2:201123555-201126280	11.94	5.21	4.96	4.93	7.82	7.82	7.69	7.24	9.08	10.16	11.26	15.71
ENSG00000003509chr2:37197949-37199102	38.96	35.79	25.88	24.35	19.38	15.28	12.76	9.74	7.72	4.9	5.47	4.6
