H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.27	0.23	0.19	0.3	0.12	0.33	0.31	0.37	0.26	0.25	0.23	0.36
ENSG00000000419	2.29	0.83	0.68	2.76	2.34	1.5	2.15	0.75	0.82	0.67	3.54	1.01
ENSG00000000457	0.15	0.13	0.09	0.12	0.07	0.16	0.2	0.23	0.11	0.16	0.17	0.17
ENSG00000000460	0.15	0.1	0.09	0.04	0.09	0.14	0.12	0.1	0.08	0.08	0.16	0.17
ENSG00000000938	0.13	0.11	0.15	0.2	0.23	0.12	0.12	0.07	0.11	0.1	0.08	0.14
ENSG00000000971	0.18	0.11	0.14	0.16	0.08	0.18	0.2	0.1	0.11	0.05	0.32	0.42
ENSG00000001036	0.23	0.18	0.26	0.34	0.14	0.13	0.23	0.43	0.22	0.25	0.16	0.25
ENSG00000001084	0.13	0.13	0.23	0.09	0.26	0.13	0.17	0.11	0.15	0.1	0.21	0.35
ENSG00000001167	0.15	0.12	0.18	0.15	0.16	0.11	0.2	0.19	0.07	0.12	0.12	0.34
ENSG00000001461	0.35	0.36	0.34	0.36	0.22	0.29	0.29	0.18	0.27	0.22	0.33	0.16
ENSG00000001497	0.23	0.3	0.23	0.21	0.15	0.35	0.28	0.14	0.13	0.23	0.15	0.2
ENSG00000001617	0.4	0.4	0.53	0.31	0.19	0.37	0.35	0.48	0.65	1.96	0.12	0.2
ENSG00000001629	0.8	1	0.48	1.77	0.34	0.95	0.64	0.41	0.3	0.36	3.1	1.61
ENSG00000001630	0.2	0.16	0.13	0.17	0.12	0.14	0.14	0.11	0.11	0.14	0.18	0.14
ENSG00000001631	3.44	5.28	3.1	2.65	2.17	2.43	4.21	1.75	1.84	0.43	4.07	1.99
ENSG00000002016	3.25	3.98	1.58	2.61	2.27	2.97	2.08	3.99	2.46	3.06	4.86	2.78
ENSG00000002330	0.85	0.75	1.49	1.96	1.82	4.29	1.26	1.38	1.85	4.29	0.54	0.25
ENSG00000002549	0.22	0.18	0.16	0.13	0.25	0.19	0.14	0.13	0.17	0.17	0.15	0.18
ENSG00000002586	0.28	0.24	0.36	0.23	0.32	0.39	0.35	0.35	0.23	0.26	0.15	0.32
ENSG00000002745	10.21	9.77	3.44	2.33	0.65	1.52	0.42	0.18	0.12	0.1	0.31	0.09
ENSG00000002822	0.34	0.24	0.28	0.16	0.23	0.07	0.12	0.08	0.13	0.15	0.21	0.16
ENSG00000002834	0.11	0.09	0.09	0.19	0.16	0.14	0.1	0.08	0.16	0.16	0.09	0.1
ENSG00000002919	8.92	5.97	6.74	6.26	6.42	6.59	6.62	5.73	2.47	4.08	4.36	4.82
ENSG00000003056	0.1	0.11	0.07	0.15	0.14	0.08	0.17	0.14	0.09	0.15	0.16	0.29
ENSG00000003147	0.2	0.3	0.28	0.11	0.21	0.12	0.2	0.28	0.19	0.13	0.17	0.19
ENSG00000003393	0.07	0.12	0.06	0.18	0.07	0.12	0.3	0.09	0.24	0.1	0.17	0.15
ENSG00000003400	0.13	0.08	0.14	0.1	0.15	0.17	0.11	0.19	0.15	0.25	0.18	0.09
ENSG00000003402	0.11	0.23	0.09	0.07	0.13	0.17	0.13	0.18	0.15	0.13	0.24	0.45
ENSG00000003509	6.55	6.34	8.81	7.74	9	6.34	8.48	7.5	6.46	3.66	5.26	1.68
ENSG00000003756	0.03	0.03	0.05	0.07	0.04	0.06	0.08	0.07	0.14	0.16	0.11	0.06
ENSG00000003989	0.12	0.09	0.18	0.1	0.06	0.14	0.05	0.11	0.06	0.1	0.07	0.13
ENSG00000004059	8.95	9.96	10.96	9.52	7.57	9.57	5.79	3.42	6.69	4.81	4.57	3.66
ENSG00000004139	0.7	0.63	0.49	0.65	0.42	1.08	1.03	0.58	1.56	1.75	4.24	7.8
ENSG00000004142	0.7	0.65	0.54	0.7	0.5	1.16	1.06	0.61	1.56	3.5	4.24	6.75
ENSG00000004399	0.1	0.19	0.14	0.17	0.22	0.1	0.07	0.08	0.16	0.12	0.06	0.09
ENSG00000004455	0.97	0.49	2.05	0.75	0.74	0.61	0.55	1.02	2.39	0.91	0.59	0.57
ENSG00000004468	0.09	0.07	0.11	0.06	0.08	0.09	0.14	0.15	0.19	0.23	0.23	0.34
ENSG00000004478	0.48	0.54	0.57	0.34	0.46	0.66	0.27	0.3	0.41	0.41	0.3	0.4
ENSG00000004487	0.1	0.14	0.09	0.11	0.33	0.16	0.12	0.24	0.13	0.14	0.1	0.29
ENSG00000004534	0.21	0.13	0.2	0.19	0.14	0.12	0.17	0.24	0.1	0.16	0.11	0.17
ENSG00000004700	2.93	4.96	3.19	4.15	4.96	4.18	3.01	4.45	2.22	4.53	4.55	9.14
