H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.27	0.27	0.2	0.13	0.13	0.15	0.27	0.12	0.18	0.19	0.14	0.18
ENSG00000000419	0.25	0.28	0.22	0.4	0.34	0.3	0.28	0.28	0.24	0.23	0.26	0.35
ENSG00000000457	0.11	0.18	0.14	0.1	0.17	0.18	0.08	0.09	0.12	0.11	0.23	0.24
ENSG00000000460	0.18	0.12	0.19	0.15	0.15	0.15	0.14	0.17	0.1	0.12	0.15	0.15
ENSG00000000938	0.17	0.22	0.19	0.13	0.1	0.19	0.19	0.22	0.18	0.19	0.34	0.18
ENSG00000000971	0.05	0.15	0.05	0.06	0.18	0.12	0.13	0.08	0.04	0.07	0.13	0.18
ENSG00000001036	0.14	0.11	0.24	0.19	0.16	0.2	0.15	0.13	0.17	0.17	0.12	0.11
ENSG00000001084	0.09	0.2	0.09	0.13	0.14	0.15	0.16	0.11	0.13	0.12	0.12	0.19
ENSG00000001167	2.06	3.18	1.81	1.9	3.02	3.35	3.66	2.12	2.95	1.94	2.09	2.26
ENSG00000001461	31.96	31.88	40.12	25.92	28.73	30.64	24.74	30.71	34.44	28.9	31.62	31.54
ENSG00000001497	0.11	0.12	0.14	0.15	0.2	0.27	0.09	0.14	0.11	0.1	0.12	0.2
ENSG00000001617	0.18	0.1	0.16	0.15	0.09	0.12	0.13	0.14	0.18	0.15	0.15	0.08
ENSG00000001629	0.36	0.33	0.41	1.58	0.38	1.93	0.2	0.32	0.25	2.09	1.77	0.22
ENSG00000001630	0.09	0.11	0.15	0.16	0.19	0.05	0.07	0.15	0.11	0.08	0.13	0.19
ENSG00000001631	2.25	3.49	2.5	4.64	2.38	1.76	2.35	2.36	2.92	1.33	2.4	2.8
ENSG00000002016	19.38	20.99	25.42	28.05	20.28	24.11	21.14	23.83	21.81	18.62	24.48	16.85
ENSG00000002330	0.31	3.06	0.28	1.56	0.17	0.11	0.22	0.38	0.22	1.04	0.29	2.67
ENSG00000002549	0.14	0.17	0.15	0.13	0.16	0.13	0.07	0.08	0.15	0.11	0.2	0.08
ENSG00000002586	0.24	0.1	0.1	0.19	0.13	0.3	0.11	0.1	0.14	0.1	0.14	0.09
ENSG00000002745	40.38	51.86	33.23	22.84	13.69	11.18	11.4	4.93	3.72	0.54	0.76	0.51
ENSG00000002822	0.4	0.79	0.9	0.59	0.54	0.54	0.53	0.65	1.64	0.84	2.33	1.21
ENSG00000002834	7.54	5.19	2.16	5.29	2.76	3.5	1.84	3.83	1.82	3.6	1.96	3.37
ENSG00000002919	133.8	103.13	118.92	115.24	110.86	109.45	114.47	114.88	101.52	112.85	99.74	103.45
ENSG00000003056	1.01	1.57	0.91	0.73	0.87	0.91	0.69	0.6	0.39	0.53	0.52	2.93
ENSG00000003147	0.13	0.18	0.1	0.16	0.17	0.13	0.11	0.18	0.14	0.1	0.17	0.19
ENSG00000003393	0.12	0.2	0.1	0.16	0.17	0.17	0.1	0.17	0.16	0.26	0.16	0.15
ENSG00000003400	0.51	0.31	0.46	0.43	0.49	0.55	0.49	0.37	0.42	0.38	0.31	0.35
ENSG00000003402	0.21	0.08	0.17	0.15	0.11	0.26	0.25	0.16	0.13	0.2	0.24	0.32
