H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	15.45	24.04	17.76	11.84	8.93	11.99	13.01	8.08	10.33	7.86	5.66	8.06
ENSG00000000457chr1:169881790-169883459	0.07	0.04	0.04	0.04	0.04	0.15	0.03	0.05	0.05	0.03	0.04	0.05
ENSG00000000460chr1:169604769-169605318	6.02	4.04	5.45	5.08	3.59	5.78	5.6	5.73	6.18	9.22	9.82	15.8
ENSG00000000938chr1:27624596-27627068	16.34	18.46	16.23	19.21	18.85	19.13	20.2	29.31	40.37	35.34	21.41	16.69
ENSG00000000971chr1:196659417-196659916	0.03	0.03	0.13	0.05	0.2	0.11	0.08	0.25	0.24	0.15	0.11	0.14
ENSG00000001036chr6:143527992-143528853	5.65	5.62	3.8	4.13	4.06	4.02	5.8	5.34	3.87	3.31	1.22	2.13
ENSG00000001084chr6:53592840-53593389	0.17	0.38	2.14	1.45	1.82	3.77	7.62	8.57	11.14	14.9	18.75	16.03
ENSG00000001461chr1:24406773-24407272	0.02	0.1	0.06	0.14	0.3	0.04	0.14	0.06	0.26	0.09	0.07	0.09
ENSG00000001497chrX:65526173-65526672	0.16	0.14	0.04	0.07	0.03	0.03	0.07	0.1	0.05	0.1	0.01	0.02
ENSG00000001617chr3:50136755-50141170	13.98	12.88	16.45	15.82	17.17	18.58	18.81	19.92	19.99	13.28	9.37	4.58
ENSG00000001630chr7:92178781-92180069	11.46	12.31	9.86	10.67	7.95	9.23	8.4	9.86	9.56	9.96	7.36	15.98
ENSG00000002016chr12:569661-570740	24.3	19.65	18.52	20.73	20.31	20.41	23.15	19.19	19	20.73	30.41	20.38
ENSG00000002330chr11:64268719-64272080	49.44	48.09	59.93	58.23	58.94	59.55	63.84	61.49	58.08	58.03	64.02	51.7
ENSG00000002549chr4:17592558-17593057	5.93	5.79	6.34	4.38	6.42	5.74	4.6	1.61	2.87	4.97	7.79	9.21
ENSG00000002586chrX:2701510-2702049	33.83	35.85	31.54	44.46	45.06	31.14	36.54	39.8	44.1	26.06	23.25	19.68
ENSG00000002745chr7:121313988-121314705	40.52	45.13	42.28	38.34	35.55	42.06	44.51	29.81	46.46	44.63	38.78	25.57
ENSG00000002822chr7:2219612-2221691	0.15	0.04	0.06	0.08	0.07	0.09	0.05	0.06	0.08	0.04	0.04	0.04
ENSG00000002834chr17:38898084-38899958	49.02	47.89	50.21	54.55	45.79	49.49	49.04	53.75	49.68	50.85	48.47	46.06
ENSG00000002919chr17:48131167-48131666	0.08	0.05	0.18	0.05	0.04	0.02	0.04	0.04	0.07	0.17	1.02	2.36
ENSG00000003147chr7:8253884-8255255	0.21	0.14	0.11	0.08	0.04	0.11	0.08	0.18	0.07	0.13	0.2	0.25
ENSG00000003400chr2:201174869-201175368	0.17	0.37	0.27	0.58	0.56	1.12	1.75	1.36	0.55	0.21	0.3	0.41
ENSG00000003402chr2:201123555-201126280	13.57	16.39	15.08	11.44	11.6	11.28	12.81	15.51	20.4	28.2	43.71	40.34
ENSG00000003509chr2:37197949-37199102	27.9	21.64	23.41	20.7	22.96	20.24	19.09	16.01	15.24	16.2	18.75	10.9
ENSG00000003756chr3:50120690-50121989	5.69	2.34	1.96	3.87	0.81	0.48	0.69	2.06	0.2	0.21	0.12	0.07
ENSG00000004139chr17:28380141-28380649	5.19	4.25	3.76	5.71	4.29	2.53	1.88	1.88	0.77	0.43	0.25	0.11
ENSG00000004399chr3:129614367-129615325	9.87	9.71	7.52	7.7	6.05	8.83	9.58	11.17	16.14	24.36	29.15	32.89
ENSG00000004455chr1:33055119-33056245	7.69	8.67	7.92	10.12	6.94	5.38	3.34	2.82	2.33	0.53	0.46	2.51
ENSG00000004468chr4:15769084-15769583	3.28	4.99	3.22	4.84	2.26	1.78	0.38	0.55	0.55	0.42	0.18	0.13
ENSG00000004478chr12:2783292-2784862	12.67	9.89	13.41	11.15	10.68	11.67	7.33	11.41	8.32	10.23	13.84	16.1
ENSG00000004487chr1:23010672-23011613	1.49	2.57	1.66	2.97	2	2.52	1.39	2.09	2.31	4.43	2.6	2.88
ENSG00000004534chr3:49947210-49947709	1.62	0.82	1.51	2	1.46	0.7	1.1	0.7	0.93	1.3	2.42	0.62
ENSG00000004766chr7:93224459-93225262	0.06	0.01	0.03	0.01	0.04	0.02	0.05	0.03	0.03	0.01	0.08	0.07
