H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005chrX:100606660-100607159	14.27	16.3	10.42	11.17	10.18	9.68	9.23	9.11	7.76	10.12	5.93	10.87
ENSG00000000457chr1:169881790-169883459	0.11	0.24	0.15	0.08	0.07	0.11	0.12	0.08	0.06	0.07	0.08	0.06
ENSG00000000460chr1:169604769-169605318	4.95	4.29	4.78	7.93	3.77	5.7	3.81	3.22	4.31	7.45	13.03	17.05
ENSG00000000938chr1:27624596-27627068	25.43	23.96	21.93	21.15	23.31	24.59	24.73	29.13	27.05	29.79	26.75	27.9
ENSG00000000971chr1:196659417-196659916	0.1	0.02	0.34	0.06	0.09	0.1	0.11	0.11	0.43	0.36	0.32	0.25
ENSG00000001036chr6:143527992-143528853	5.7	7.09	4.27	3.38	3.52	4.58	5.1	4.45	4.03	6.13	4.01	4.34
ENSG00000001084chr6:53592840-53593389	0.91	1.18	1.73	1.49	1.78	3.36	3.85	3.63	8.56	5.7	4.05	7.5
ENSG00000001461chr1:24406773-24407272	0.04	0.05	0.26	0.16	0.25	0.08	0.07	0.05	0.05	0.11	0.16	0.23
ENSG00000001497chrX:65526173-65526672	0.04	0.2	0.03	0.04	0.02	0.04	0.25	0.06	0.08	0.05	0.28	0.05
ENSG00000001617chr3:50136755-50141170	17.11	14.64	17.08	16.78	17.44	19.31	15.96	21.59	16.41	13.46	13.05	9.05
ENSG00000001630chr7:92178781-92180069	2.24	0.97	2.23	3.6	1.44	0.9	1.14	0.59	2.34	0.64	0.8	0.66
ENSG00000002016chr12:569661-570740	6.64	4.26	7.18	5.51	4.48	6.03	4.03	6.11	6	8.04	11.38	6.36
ENSG00000002330chr11:64268719-64272080	9.11	11.09	9.78	10.91	12.03	11.77	15.64	12.11	11.22	11.18	11.82	11.54
ENSG00000002549chr4:17592558-17593057	6.88	5.71	6.04	5.47	6.37	4.64	5.38	6.46	3.16	8.82	16.41	12.61
ENSG00000002586chrX:2701510-2702049	28.14	27.95	34.41	30.67	39.64	33.93	33.41	39.48	38.98	35.6	30.53	30.27
ENSG00000002745chr7:121313988-121314705	0.99	2.1	3.36	3.36	3.9	3.2	2.51	2.06	4.39	7.72	7.76	5.66
